Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
079Я,0,КРАСНОДАР,АДЛЕР,3Э,1,,,188.2,1486.5,252
079Я,0,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
014Ж,0,КРАСНОДАР,АДЛЕР,1У,1,,,384.0,5322.5,252
014Ж,0,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
353Е,0,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,1280.3,252
353Е,0,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
302Б,0,КРАСНОДАР,АДЛЕР,2К,1,,,93.1,2260.6,252
249Н,0,КРАСНОДАР,АДЛЕР,2У,1,,,208.0,1274.1,252
249Н,0,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
808С,0,КРАСНОДАР,АДЛЕР,1С,1,,,0.0,2971.2,252
306М,0,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,1397.3,252
037Г,1,КРАСНОДАР,АДЛЕР,2К,1,,,307.0,1826.3,252
037Г,1,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
821С,1,КРАСНОДАР,АДЛЕР,2Ж,1,,,0.0,635.8,252
461Й,1,КРАСНОДАР,АДЛЕР,1У,1,,,384.0,4840.1,252
461Й,1,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
113А,1,КРАСНОДАР,АДЛЕР,2У,1,,,208.0,1146.3,252
113А,1,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
497Г,1,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,1923.6,252
497Г,1,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,2079.6,252
497Г,1,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,2079.6,252
497Г,1,КРАСНОДАР,АДЛЕР,3Б,1,,,188.2,1380.1,252
497Г,1,КРАСНОДАР,АДЛЕР,3Э,1,,,188.2,1380.1,252
497Г,1,КРАСНОДАР,АДЛЕР,3Э,1,,,188.2,1380.1,252
497Г,1,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
471М,1,КРАСНОДАР,АДЛЕР,1Л,1,,,384.0,4926.5,252
471М,1,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,1337.0,252
471М,1,КРАСНОДАР,АДЛЕР,3Т,1,,,188.2,1380.1,252
471М,1,КРАСНОДАР,АДЛЕР,3Э,1,,,188.2,1380.1,252
471М,1,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
306М,1,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,2229.7,252
306М,1,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,2229.7,252
306М,1,КРАСНОДАР,АДЛЕР,2У,1,,,208.0,2229.7,252
459В,1,КРАСНОДАР,АДЛЕР,3Э,1,,,188.2,1380.1,252
459В,1,КРАСНОДАР,АДЛЕР,,1,,,0.0,0.0,252
468М,1,КРАСНОДАР,АДЛЕР,2К,1,,,208.0,1767.7,252
