Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
036С,0,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2Б,1,,,347.0,9784.3,2243
036С,0,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,2,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,2,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,4,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,4,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,4,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,5,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,7285.9,2243
259С,5,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,5,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,6,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,6,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,6,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
114С,6,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,6329.0,2243
114С,6,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,7,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,7,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,7,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,8,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,6721.6,2243
259С,8,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,8,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,8,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,9,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,9,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,9,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
114С,9,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,6329.0,2243
114С,9,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,10,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,6869.6,2243
259С,10,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,10,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,11,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,11,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,11,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,12,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8072.4,2243
259С,12,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,12,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,13,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,13,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,14,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,14,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,15,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,15,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,15,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,17,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,17,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
036С,18,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,1Э,1,,,7329.0,27592.4,2243
036С,18,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,18,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,6721.6,2243
259С,18,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,18,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,18,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,20,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,3Э,1,,,188.2,5495.1,2243
259С,20,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
266С,22,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,5408.7,2243
259С,22,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,8350.1,2243
259С,22,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,,1,,,0.0,0.0,2243
259С,23,КРАСНОДАР,САНКТ-ПЕТЕРБУРГ-ГЛАВНЫЙ,2К,1,,,208.0,6721.6,2243
